朱时茂	陈佩斯
黄希庭	张进辅
赵晨浩	许智伟
林峰	何超莲
郭芙	小龙女
麦炳荣	李海泉
郑洁	李娜
周恩来	孙维世
贾海平	吴洁华
魏骏杰	张利华
戚雅仙	尹桂芳
郭德纲	李菁
谭孝曾	谭元寿
陈香梅	廖承志
甘萍	黎兵
武敦儒	武修文
刘表	刘琮
诸葛亮	刘备
元奎	袁和平
侯宝林	郭全宝
俞振飞	马季
刘盈	汉惠帝
女	Ella
田立禾	佟守本
李豫	唐代宗
劫夫	黄永胜
赵子龙	张飞
筱文滨	凌爱珍
曹丕	曹植
段祺瑞	王占元
张无忌	高圆圆
许地山	周俟松
成龙	洪金宝
蔡康永	康熙
吴淑珍	陈幸妤
言菊朋	马富禄
张维	陆士嘉
朱剑凡	丁玲
女	庾家麟
白浪	郎平
嫦娥	后羿
洪金宝	洪天祥
谭志道	谭小培
咸丰	焦菊隐
朱茵	姚晨
马琳	张雅晴
刘滨	毛泽东
刘永好	刘永言
犬夜叉	杀生丸
钱玄同	周作人
冯潇霆	赵盈
柯以柔	汪建民
陈水扁	吴淑珍
曹操	曹丕
何怡贞	何泽慧
瞿秋白	女
连震东	连战
段氏	慕容垂
李海泉	李敏
张载	吕大临
曹昂	曹宇
马钰	刘处玄
成龙	潘迪生
云燕铭	田汉
郭英丽	赵贞玉
蔡儒楷	韩拱辰
余叔岩	马连良
马立安	马鹤凌
武修文	武三通
钱永真	钱学森
白崇禧	马佩璋
蒋经国	蒋介石
尹桂芳	袁雪芬
贺锡敬	徐若瑄
任冰儿	任剑辉
任剑辉	任冰儿
小乔	周瑜
谢晖	维多利亚
Arissa	吴建豪
林徽因	梁思成
方怡	韦小宝
小凤仙	蔡锷
彭帅	谢淑薇
孟喜平	孟小冬
葛优	贺聪
西施	夫差
卫夫人	任剑辉
黎明	乐基儿
小林光一	吴清源
孟俊泉	裘盛戎
晏紫	李圣根
齐秦	方美芳
古巨基	陈英雪
潘石屹	张欣
张丹峰	洪欣
张默	张国立
罗美薇	张学友
杜如晦	程知节
曹彰	曹丕
谭政	莫文骅
英如镝	周总理
许冠英	许冠武
杜鹃	梁醒波
郭嘉	程昱
房祖名	大元
侯宝林	郭全宝
陈宝国	卫子夫
李世民	秦叔宝
陆定一	陆健健
张秋芳	傅彪
贾谊	周勃
李润杰	张志宽
黄家驹	叶世荣
孔祥熙	蒋介石
梁醒波	任剑辉
邵华	张文秋
俞小凡	翁家明
郑振铎	瞿秋白
程颢	程颐
张宁	周蜜
许晋亨	许世勋
朱桂芳	阎岚秋
陈发科	陈照奎
陈锦棠	马师曾
李宗仁	胡友松
毛泽东	章士钊
曹冲	曹操
孙盛文	裘桂仙
张国立	韩雨芹
潘长江	金珠
吴卓林	小龙女
余叔岩	离异
童寿苓	童葆苓
林黛	冯宝宝
赵晨浩	郑允浩
马增芬	马连登
王婉华	张君秋
叶问	李小龙
李振辉	李小龙
任剑辉	梁醒波
赵本山	范伟
赵一荻	张学良
龙云	卢汉
范文芳	李铭顺
S	林忆莲
冉莹颖	邹市明
粟裕	聂荣臻
杨澄甫	郑曼青
石慧儒	华连仲
邓肇坚	章顺婉
燕青	阮小五
海德里希	希特勒
胡德夫	李双泽
刘春慧	李伯祥
谢霆锋	容祖儿
曹植	曹操
石达开	韦昌辉
赵晨浩	韩庚
罗浩	宋祖英
杜近芳	张君秋
赵云	张飞
钱玄同	周作人
吴尊	韩庚
侯瓒	侯耀华
福康安	乾隆
钱伟长	孔祥瑛
连战	连惠心
侯君集	李世民
巩汉林	赵丽蓉
陆锦花	戚雅仙
刘协	董卓
戴宗	宋江
希姆莱	海德里希
太平公主	李隆基
葛优	孙红雷
李小鹏	邢傲伟
孙权	小乔
马鸿宾	马福祥
高锟	黄美芸
杜鹃	余丽珍
女	田卿
汉明帝	光武帝
张转社	李健
李婷	女
任剑辉	唐伯虎
许地山	瞿秋白
钟家鸿	陈慧珊
袁咏仪	张智霖
梁红玉	宋高宗
陈枝	陈兆
邓亚萍	林志刚
毛岸英	毛泽东
金日成	金正恩
胡进	张蓉芳
许锡挥	许崇清
鲍蕾	郭京飞
郭德纲	女
咸丰	洪秀全
刘备	关羽
苑琼丹	林正英
李菁	高峰
郭焱	刘诗雯
朴树	周迅
杭天琪	张泽民
李光耀	柯玉芝
刘禅	刘谌
徐靖雯	郑嘉颖
费玉清	张菲
王熙凤	邢夫人
马景涛	吴佳尼
侯耀华	侯耀文
章子怡	赵本山
丁健	许戈辉
孙策	吴夫人
吴洁华	张萍
言少朋	高庆奎
林徽音	林长民
戴思聪	刘德华
高德亮	侯宝林
李湘	沈殿霞
刘备	刘表
姚明	隋菲菲
周继红	田秉毅
李莎	李立三
郝寿臣	大元
周芷若	赵敏
王盘声	筱文滨
李丞责	刘倩婷
王朔	孙红雷
金惠秀	金惠星
张兰秦	尚长荣
慈禧太后	同治
张学友	赵晨浩
许崇灏	许崇清
萧淑芳	吴作人
方凤娣	姚志源
苏家漫	俞小凡
郭台强	郭台铭
孙中山	蔡端
慕容垂	慕容宝
新凤霞	吴祖光
杨宝森	杨文蕙
蒋友柏	蒋友青
朱自清	武钟谦
刘备	诸葛亮
柯印华	柯棣华
徐梦桃	徐学君
刘桂娟	邓敏
刘威	杨若兮
陈水扁	陈致中
唐杰臣	唐廷植
赵伟洲	苏文茂
袁雪芬	范瑞娟
谭孝曾	谭鑫培
宋美龄	蒋中正
曹云金	徐德亮
胡彦麟	胡景翼
叶璇	张国立
陈一舟	杨宁
颛顼	昌意
阮小七	阮小五
刘禅	诸葛亮
康广仁	刘光第
杨虎城	孔继宁
郭台铭	林淑如
孔子	子贡
胡祖望	胡适
李治	唐太宗
曹丕	甄洛
陈祖涛	陈祖莫
郭芙	武修文
李婷芷	马景涛
程砚秋	荀慧生
汉武帝	董仲舒
赵丹	黄宗英
钟灵	段正淳
杨维	张洁雯
萧长华	周总理
吕骥	麦新
章含之	乔冠华
关羽	诸葛亮
巴金	夏衍
任剑辉	陈锦棠
孙鲁育	孙霸
刘雪涛	童寿苓
白凤岩	白凤鸣
杨光诺	杜致礼
蔡依林	赵又廷
曾志伟	徐子淇
戴志诚	侯耀文
严慰冰	陆定一
杨不悔	张无忌
刘文辉	刘湘
蔡和森	向警予
俞樾	俞曲园
尔冬升	秦沛
